#Galaxy Name,Filename,Extension,dx,dy,x0,y0,Galaxy type,Morphology,H,M,S,RA (deg),D,M,S,Dec (deg),Major (arcmin),Minor (arcmin),Major (ly),Minor (ly),Distance (Mpc),Distance (ly),Constellation,Stellar Mass (log),Other names,Notes
NGC 337,NGC0337,.jpg,0.07,0.07,0.67,0.76,Barred,SBd,0,59,49.9,14.9579166667,-7,34,41,-7.5780555556,2.9,1.8,5.31E+04,3.30E+04,19.3,6.29E+07,Cetus,9.47,,
NGC 1097,NGC1097,.jpg,0.07,0.07,0.55,0.75,Barred,SBb,2,46,18.9,41.57875,-30,16,21,-30.2725,9.3,6.3,1.25E+05,8.49E+04,14.2,4.63E+07,Fornax,10.74,Arp 77; Caldwell 67,
NGC 1266,NGC1266,.jpg,0.05,0.05,0.26,0.53,Barred,SB0,3,16,0.8,49.0033333333,-2,25,38,-2.4272222222,1.5,1,4.35E+04,2.90E+04,30.6,9.98E+07,Eridanus,10.14,,
NGC 1291,NGC1291,.jpg,0.06,0.07,0.44,0.7,Barred,SBa,3,17,17.5,49.3229166667,-41,6,28,-41.1077777778,9.8,8.1,9.67E+04,7.99E+04,10.4,3.39E+07,Eridanus,10.79,,
NGC 1512,NGC1512,.jpg,0.07,0.08,0.45,0.78,Barred,SBab,4,3,54.6,60.9775,-43,21,3,-43.3508333333,8.9,5.6,9.80E+04,6.16E+04,11.6,3.78E+07,Horologium,10.1,,
NGC 2146,NGC2146,.jpg,0.05,0.06,0.38,0.67,Barred,SBab,6,18,37.7,94.6570833333,78,21,21,78.3558333333,6,3.4,9.79E+04,5.55E+04,17.2,5.61E+07,Camelopardalis,0,UGC 3429,
NGC 2798,NGC2798,.jpg,0.07,0.07,0.31,0.59,Barred,SBa,9,17,23,139.3458333333,41,59,58,41.9994444444,2.6,1,6.36E+04,2.45E+04,25.8,8.42E+07,Lynx,10.04,Arp 283; UGC 4905,
NGC 3198,NGC3198,.jpg,0.08,0.08,0.61,0.84,Barred,SBc,10,19,54.9,154.97875,45,32,0,45.5333333333,8.5,3.3,1.14E+05,4.41E+04,14.1,4.60E+07,Ursa Major,9.85,UGC 5572,
M95,NGC3351,.jpg,0.07,0.07,0.53,0.85,Barred,SBb,10,43,57.7,160.9904166667,11,42,12,11.7033333333,7.4,5,6.55E+04,4.43E+04,9.33,3.04E+07,Leo,10.28,NGC 3351; UGC 5850,
NGC 4236,NGC4236,.jpg,0.1,0.11,0.86,0.76,Barred,SBdm,12,16,43.1,184.1795833333,69,27,51,69.4641666667,21.9,7.2,9.25E+04,3.04E+04,4.45,1.45E+07,Draco,8.18,UGC 7306,
Whale Galaxy,NGC4631,.jpg,0.08,0.05,0.72,0.85,Barred,SBd,12,42,7.7,190.5320833333,32,32,27,32.5408333333,15.5,2.7,1.12E+05,1.95E+04,7.62,2.49E+07,Canes Venatici,9.76,NGC 4631; Arp 281; Caldwell 32,
NGC 5398,NGC5398,.jpg,0.07,0.08,0.78,0.75,Barred,SBdm,14,1,21.9,210.34125,-33,3,44,-33.0622222222,2.8,1.7,2.03E+04,1.24E+04,7.66,2.50E+07,Centaurus,7.86,Tol89,
NGC 584,NGC0584,.jpg,0.07,0.08,0.15,0.32,Elliptical,E4,1,31,20.7,22.83625,-6,52,6,-6.8683333333,4.2,2.3,8.29E+04,4.54E+04,20.8,6.78E+07,Cetus,11.12,IC 1712,
NGC 855,NGC0855,.jpg,0.07,0.07,0.07,0.34,Elliptical,E,2,14,3.7,33.5154166667,27,52,37,27.8769444444,2.6,1,2.40E+04,9.23E+03,9.73,3.17E+07,Triangle,8.67,UGC 1718,
NGC 1404,NGC1404,.jpg,0.06,0.06,0.09,0.42,Elliptical,E1,3,38,51.7,54.7154166667,-35,35,36,-35.5933333333,3.3,3,6.32E+04,5.75E+04,20.2,6.59E+07,Fornax,10.85,,
NGC 3265,NGC3265,.jpg,0.06,0.06,0.08,0.27,Elliptical,E,10,31,6.8,157.7783333333,28,47,47,28.7963888889,1.3,1,2.42E+04,1.86E+04,19.6,6.39E+07,Leo Minor,8.7,UGC 5705,
IC 2574,IC2574,.jpg,0.07,0.07,0.34,0.8,Irregular,SABm,10,28,21.5,157.0895833333,68,24,51,68.4141666667,13.2,5.4,4.75E+04,1.94E+04,3.79,1.24E+07,Ursa Major,8.16,UGC 5666; Coddington's Nebula,
IC 342,IC342,.jpg,0.09,0.1,0.85,0.58,Intermediate,SABcd,3,46,49.1,56.7045833333,68,5,48,68.0966666667,21.4,20,6.66E+04,6.22E+04,3.28,1.07E+07,Camelopardalis,9.95,UGC 2847,
NGC 925,NGC0925,.jpg,0.09,0.1,0.76,0.61,Intermediate,SABdm,2,27,16.8,36.82,33,34,45,33.5791666667,10.5,5.9,9.09E+04,5.11E+04,9.12,2.97E+07,Triangle,9.48,UGC 1913,
Fornax A,NGC1316,.jpg,0.05,0.07,0.35,0.48,Intermediate,SAB0,3,22,43.9,50.6829166667,-37,9,10,-37.1527777778,12,8.5,2.39E+05,1.69E+05,21,6.85E+07,Fornax,9.99,NGC 1316; Arp 154,Fornax A is the lower of the two galaxies seen here; and appears to be interacting with the galaxy seen above it. The cause of the distrubted shape of Fornax A; however; is thought to be a merger with another galaxy several billion years ago. Fornax A is also one of the brightest sources of radio waves in the sky; caused by an active black hole at its centre.
NGC 3184,NGC3184,.jpg,0.1,0.1,0.82,0.33,Intermediate,SABcd,10,18,17,154.5708333333,41,25,26,41.4238888889,7.4,6.9,8.21E+04,7.66E+04,11.7,3.82E+07,Ursa Major,9.24,UGC 5557,
